participant,semantic_source,metric,runs,mean_across_runs,run_sd
sub-01,cornet-s,top1_accuracy,5,0.184,0.03286335345030996
sub-01,cornet-s,top5_accuracy,5,0.43200000000000005,0.013038404810405309
sub-01,dinov2,top1_accuracy,5,0.127,0.0325192250830182
sub-01,dinov2,top5_accuracy,5,0.35600000000000004,0.07436396977031282
sub-02,cornet-s,top1_accuracy,5,0.136,0.008944271909999166
sub-02,cornet-s,top5_accuracy,5,0.391,0.008944271909999166
sub-02,dinov2,top1_accuracy,5,0.10200000000000001,0.03474910070778812
sub-02,dinov2,top5_accuracy,5,0.319,0.08784930278607792
sub-03,cornet-s,top1_accuracy,5,0.147,0.002738612787525833
sub-03,cornet-s,top5_accuracy,5,0.395,0.0
sub-03,dinov2,top1_accuracy,5,0.13199999999999998,0.046583258795408464
sub-03,dinov2,top5_accuracy,5,0.32599999999999996,0.09723682430026187
sub-04,cornet-s,top1_accuracy,5,0.16799999999999998,0.010954451150103319
sub-04,cornet-s,top5_accuracy,5,0.41400000000000003,0.013416407864998722
sub-04,dinov2,top1_accuracy,5,0.128,0.057183913821983186
sub-04,dinov2,top5_accuracy,5,0.35200000000000004,0.10028708790268068
sub-05,cornet-s,top1_accuracy,5,0.101,0.023558437978779493
sub-05,cornet-s,top5_accuracy,5,0.342,0.02706473720544872
sub-05,dinov2,top1_accuracy,5,0.092,0.0396232255123179
sub-05,dinov2,top5_accuracy,5,0.269,0.07569676347110224
sub-06,cornet-s,top1_accuracy,5,0.158,0.017535677916750175
sub-06,cornet-s,top5_accuracy,5,0.41200000000000003,0.032132538026119255
sub-06,dinov2,top1_accuracy,5,0.122,0.057510868538042444
sub-06,dinov2,top5_accuracy,5,0.351,0.0898192629673613
sub-07,cornet-s,top1_accuracy,5,0.15,0.016955824957813174
sub-07,cornet-s,top5_accuracy,5,0.40800000000000003,0.006708203932499346
sub-07,dinov2,top1_accuracy,5,0.13899999999999998,0.04916807907575809
sub-07,dinov2,top5_accuracy,5,0.369,0.0606630035524124
sub-08,cornet-s,top1_accuracy,5,0.179,0.021908902300206652
sub-08,cornet-s,top5_accuracy,5,0.476,0.0054772255750516665
sub-08,dinov2,top1_accuracy,5,0.16699999999999998,0.01643167672515498
sub-08,dinov2,top5_accuracy,5,0.4039999999999999,0.06024948132556826
sub-09,cornet-s,top1_accuracy,5,0.172,0.020796634343085416
sub-09,cornet-s,top5_accuracy,5,0.418,0.004472135954999583
sub-09,dinov2,top1_accuracy,5,0.11299999999999999,0.03154362059117501
sub-09,dinov2,top5_accuracy,5,0.364,0.07948270252073718
sub-10,cornet-s,top1_accuracy,5,0.18600000000000003,0.002236067977499792
sub-10,cornet-s,top5_accuracy,5,0.488,0.017888543819998333
sub-10,dinov2,top1_accuracy,5,0.159,0.040527768258318886
sub-10,dinov2,top5_accuracy,5,0.413,0.07362064927722385
