seed,participant,stage,predecessor,baseline_id,semantic_source,preprocessing,ridge_alpha,retrieval,candidate_count,metric,score,change_from_predecessor,change_from_baseline,configuration_hash
17,sub-01,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.175,-0.03,0.08999999999999998,f17381c90cad26d8
17,sub-01,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.41,-0.025000000000000022,0.08999999999999997,f17381c90cad26d8
17,sub-01,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.16,-0.010000000000000009,0.075,c259e428a4b807c9
17,sub-01,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.435,0.0,0.11499999999999999,c259e428a4b807c9
17,sub-02,S3,S2,S0-cornet-ridge,cornet-s,eeg-128_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.12,0.0,0.065,5ad6ec0233c1218c
17,sub-02,S3,S2,S0-cornet-ridge,cornet-s,eeg-128_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.375,0.0,0.09999999999999998,5ad6ec0233c1218c
17,sub-02,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.14,-0.014999999999999986,0.08500000000000002,6cee87a0b85e3f18
17,sub-02,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.415,-0.025000000000000022,0.13999999999999996,6cee87a0b85e3f18
17,sub-03,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.145,0.004999999999999977,0.07999999999999999,f1f0c97b7b3a6ea4
17,sub-03,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.395,-0.010000000000000009,0.10000000000000003,f1f0c97b7b3a6ea4
17,sub-03,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.175,0.0,0.10999999999999999,c259e428a4b807c9
17,sub-03,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.425,0.0,0.13,c259e428a4b807c9
17,sub-04,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.175,0.0,0.09499999999999999,f17381c90cad26d8
17,sub-04,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.405,-0.014999999999999958,0.125,f17381c90cad26d8
17,sub-04,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.19,-0.010000000000000009,0.11,6cee87a0b85e3f18
17,sub-04,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.46,0.0,0.18,6cee87a0b85e3f18
17,sub-05,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.11,0.0,0.045,f17381c90cad26d8
17,sub-05,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.34,-0.034999999999999976,0.13000000000000003,f17381c90cad26d8
17,sub-05,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.135,-0.009999999999999981,0.07,6cee87a0b85e3f18
17,sub-05,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.35,0.009999999999999953,0.13999999999999999,6cee87a0b85e3f18
17,sub-06,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.18,0.0,0.10999999999999999,f17381c90cad26d8
17,sub-06,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.445,0.020000000000000018,0.18,f17381c90cad26d8
17,sub-06,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.185,0.0,0.11499999999999999,6cee87a0b85e3f18
17,sub-06,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.445,-0.015000000000000013,0.18,6cee87a0b85e3f18
17,sub-07,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.155,0.0,0.039999999999999994,989afa324d4430d8
17,sub-07,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.405,0.0,0.09500000000000003,989afa324d4430d8
17,sub-07,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.2,0.0,0.085,6b79453fbf9f0f98
17,sub-07,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.445,0.0,0.135,6b79453fbf9f0f98
17,sub-08,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.155,-0.0050000000000000044,0.06,f17381c90cad26d8
