semantic_source,parameter,selected_value,models,total_models,selection_fraction,selection_data
cornet-s,eeg_dimension,128,5,50,0.1,category-disjoint reference folds only
cornet-s,eeg_dimension,null,45,50,0.9,category-disjoint reference folds only
cornet-s,remove_components,0,50,50,1.0,category-disjoint reference folds only
cornet-s,ridge_alpha,100.0,14,50,0.28,category-disjoint reference folds only
cornet-s,ridge_alpha,1000.0,36,50,0.72,category-disjoint reference folds only
cornet-s,semantic_dimension,100,33,50,0.66,category-disjoint reference folds only
cornet-s,semantic_dimension,64,17,50,0.34,category-disjoint reference folds only
cornet-s,whiten,true,50,50,1.0,category-disjoint reference folds only
dinov2,eeg_dimension,128,13,50,0.26,category-disjoint reference folds only
dinov2,eeg_dimension,null,37,50,0.74,category-disjoint reference folds only
dinov2,remove_components,0,47,50,0.94,category-disjoint reference folds only
dinov2,remove_components,1,2,50,0.04,category-disjoint reference folds only
dinov2,remove_components,2,1,50,0.02,category-disjoint reference folds only
dinov2,ridge_alpha,100.0,22,50,0.44,category-disjoint reference folds only
dinov2,ridge_alpha,1000.0,28,50,0.56,category-disjoint reference folds only
dinov2,semantic_dimension,100,46,50,0.92,category-disjoint reference folds only
dinov2,semantic_dimension,64,4,50,0.08,category-disjoint reference folds only
dinov2,whiten,false,22,50,0.44,category-disjoint reference folds only
dinov2,whiten,true,28,50,0.56,category-disjoint reference folds only
