seed,participant,repetitions,mean_similarity_to_80,mean_feature_variance,first_last_40_similarity
17,sub-01,1,0.39267006898819745,0.48693506033738687,0.8614529889327767
17,sub-01,2,0.5170067138450969,0.27664544424418674,0.8614529889327767
17,sub-01,5,0.692083566941472,0.1181118162189478,0.8614529889327767
17,sub-01,10,0.814138706952258,0.06632122558047311,0.8614529889327767
17,sub-01,20,0.9078323482617369,0.04227208158830883,0.8614529889327767
17,sub-01,40,0.9642208374089194,0.030004293525734218,0.8614529889327767
17,sub-01,80,1.0,0.023748167386741254,0.8614529889327767
17,sub-02,1,0.30213160504700515,0.46187094802838036,0.767749791254663
17,sub-02,2,0.4071458467066904,0.23270808748503477,0.767749791254663
17,sub-02,5,0.5807000145350629,0.10529273672907069,0.767749791254663
17,sub-02,10,0.7219862444975544,0.05950103369700686,0.767749791254663
17,sub-02,20,0.8490807182691644,0.03597043083201464,0.767749791254663
17,sub-02,40,0.9388524452618676,0.024937468407655598,0.767749791254663
17,sub-02,80,1.0,0.01922235717993656,0.767749791254663
17,sub-03,1,0.4444157157717285,0.4229309016219505,0.8964050337183588
17,sub-03,2,0.5788471311917925,0.21862311322151187,0.8964050337183588
17,sub-03,5,0.751959818550498,0.0992360078235479,0.8964050337183588
17,sub-03,10,0.8531047697862795,0.062457708851422836,0.8964050337183588
17,sub-03,20,0.9285818454908851,0.04085736105284484,0.8964050337183588
17,sub-03,40,0.9748897735499944,0.030963012873932248,0.8964050337183588
17,sub-03,80,1.0,0.02616935801666064,0.8964050337183588
17,sub-04,1,0.3744443631520896,0.44066012872381194,0.8451335648370977
17,sub-04,2,0.50624769339579,0.20121021280118484,0.8451335648370977
17,sub-04,5,0.6733518526620372,0.089573109051271,0.8451335648370977
17,sub-04,10,0.8031102524605348,0.054155153188579344,0.8451335648370977
17,sub-04,20,0.8951109396371121,0.036676629211684776,0.8451335648370977
17,sub-04,40,0.9611523815654089,0.02724675026358581,0.8451335648370977
17,sub-04,80,1.0,0.022797916905489355,0.8451335648370977
17,sub-05,1,0.35125975459708625,0.6127930250211329,0.8107999982252765
17,sub-05,2,0.4536777782850186,0.3243923929495738,0.8107999982252765
17,sub-05,5,0.6277170878273735,0.13801196706935837,0.8107999982252765
17,sub-05,10,0.7640699280097638,0.08165333189618997,0.8107999982252765
17,sub-05,20,0.8737189804284339,0.05128350948091536,0.8107999982252765
17,sub-05,40,0.9514373699979154,0.036386899870170394,0.8107999982252765
17,sub-05,80,1.0,0.029007319371399165,0.8107999982252765
17,sub-06,1,0.36443472837474183,0.5107503867990751,0.83877728871796
17,sub-06,2,0.48135356181906225,0.25476865026823975,0.83877728871796
17,sub-06,5,0.6599478584428531,0.1191298318510248,0.83877728871796
17,sub-06,10,0.7958078512938792,0.0682793128798829,0.83877728871796
17,sub-06,20,0.8927375652635873,0.04467854067169457,0.83877728871796
17,sub-06,40,0.9605280083696222,0.0329851332140368,0.83877728871796
17,sub-06,80,1.0,0.027047105893481124,0.83877728871796
17,sub-07,1,0.4466953582380988,0.5252006007460416,0.8944921711644848
17,sub-07,2,0.5752513215082041,0.27079923448751436,0.8944921711644848
17,sub-07,5,0.7473764589965084,0.12451589462844401,0.8944921711644848
17,sub-07,10,0.8516482425564149,0.07853296849019002,0.8944921711644848
17,sub-07,20,0.9264913947474426,0.05372425396074237,0.8944921711644848
17,sub-07,40,0.9734332004202126,0.04204022471675562,0.8944921711644848
17,sub-07,80,1.0,0.03579473846307866,0.8944921711644848
17,sub-08,1,0.4485305166348575,0.5048386261969076,0.8888210347322303
17,sub-08,2,0.5664747721191971,0.275392779779713,0.8888210347322303
17,sub-08,5,0.7331071645904613,0.13247291604288375,0.8888210347322303
17,sub-08,10,0.8416812963654479,0.08107171404142523,0.8888210347322303
17,sub-08,20,0.923017878926995,0.057793824004736996,0.8888210347322303
17,sub-08,40,0.9720602481025006,0.046696295880929925,0.8888210347322303
17,sub-08,80,1.0,0.040784817459620724,0.8888210347322303
17,sub-09,1,0.2573030381652206,0.5508615000362581,0.6852914912966565
17,sub-09,2,0.355636083504009,0.27495178451380214,0.6852914912966565
17,sub-09,5,0.5278567751012758,0.11773348346268749,0.6852914912966565
17,sub-09,10,0.6468957033374302,0.06611674087906048,0.6852914912966565
17,sub-09,20,0.8088365843921753,0.0391938684912466,0.6852914912966565
17,sub-09,40,0.9203549128504005,0.026054306367522408,0.6852914912966565
17,sub-09,80,1.0,0.019558065399864266,0.6852914912966565
17,sub-10,1,0.46704148909098364,0.44764237116759703,0.8951630921779323
17,sub-10,2,0.582209693242605,0.25448046775890965,0.8951630921779323
17,sub-10,5,0.7402487189243394,0.12102934856723398,0.8951630921779323
17,sub-10,10,0.8507788120484284,0.07361186765186861,0.8951630921779323
17,sub-10,20,0.9255363124772319,0.050665475493710616,0.8951630921779323
17,sub-10,40,0.9733523084820199,0.03977486043176188,0.8951630921779323
17,sub-10,80,1.0,0.03401965564330849,0.8951630921779323
29,sub-01,1,0.4035744153810439,0.5056930325007506,0.8614529889327767
29,sub-01,2,0.5108466981768734,0.2660299097986484,0.8614529889327767
29,sub-01,5,0.6866669495696448,0.12052541801616931,0.8614529889327767
29,sub-01,10,0.8144398893690186,0.06640121318779545,0.8614529889327767
29,sub-01,20,0.9026609860484277,0.04247431962786383,0.8614529889327767
29,sub-01,40,0.9653248855584156,0.029614997604049075,0.8614529889327767
29,sub-01,80,1.0,0.023748167386741254,0.8614529889327767
29,sub-02,1,0.3015740765368765,0.45034299692947033,0.767749791254663
29,sub-02,2,0.415799174482563,0.2403135133268519,0.767749791254663
29,sub-02,5,0.5812298756963528,0.10144328063276019,0.767749791254663
29,sub-02,10,0.721438028919533,0.05858783120732215,0.767749791254663
29,sub-02,20,0.8413443428907763,0.03561847917609559,0.767749791254663
29,sub-02,40,0.9406845054102873,0.024970422425843013,0.767749791254663
29,sub-02,80,1.0,0.01922235717993656,0.767749791254663
29,sub-03,1,0.4469949616168721,0.4347846493146909,0.8964050337183588
29,sub-03,2,0.571613594060911,0.2243598039162947,0.8964050337183588
29,sub-03,5,0.7534293639365377,0.10024546613940208,0.8964050337183588
