seed,participant,split,rows,classes,width,finite,mean,sd,effective_rank,leading_component_energy,within_stimulus_variance
17,sub-01,reference,16540,1654,561,True,-0.019624904345026527,0.49274447418524514,92.3840333465231,0.0655960654036329,not_available
17,sub-01,evaluation_80_average,200,200,561,True,-0.019387035958935244,0.2942636764470901,37.063797088896685,0.21006187736211224,0.49655806305387995
17,sub-02,reference,16540,1654,561,True,-0.029884908802828028,0.403781153913898,101.49922748814468,0.06257676144328711,not_available
17,sub-02,evaluation_80_average,200,200,561,True,-0.045074848115818585,0.20373815148726585,39.1830382611191,0.20294321330459233,0.4394570557668399
17,sub-03,reference,16540,1654,561,True,-0.04770891488443018,0.45572185358208506,103.98648728019445,0.07349939348842158,not_available
17,sub-03,evaluation_80_average,200,200,561,True,-0.045298104043267375,0.31060833458718656,34.23167506059042,0.20315568969657793,0.396873397397575
17,sub-04,reference,16540,1654,561,True,-0.052234796528079705,0.4301502689735719,57.86638973745628,0.17547759581627614,not_available
17,sub-04,evaluation_80_average,200,200,561,True,-0.05771086753566581,0.23051830358833295,30.562029331748384,0.17602011976521661,0.3607893203466764
17,sub-05,reference,16540,1654,561,True,-0.04562340420384919,0.47627918100675737,97.61678785379873,0.07389280606445585,not_available
17,sub-05,evaluation_80_average,200,200,561,True,-0.048880799035523136,0.27043896508521664,30.940195377965743,0.28281135214170305,0.5879952894986701
17,sub-06,reference,16540,1654,561,True,-0.006371781749014143,0.4665072249840096,82.15579872995283,0.07808022520808047,not_available
17,sub-06,evaluation_80_average,200,200,561,True,-0.007968271874100548,0.2686605219695947,35.90965490378194,0.20139323870893217,0.46873539998053754
17,sub-07,reference,16540,1654,561,True,-0.009928325511524116,0.4701310230811852,87.07596787686178,0.09200437105780021,not_available
17,sub-07,evaluation_80_average,200,200,561,True,-0.00996946008739836,0.3403214572620948,23.700838883587785,0.32006243828830216,0.480805963564016
17,sub-08,reference,16540,1654,561,True,-0.05733031548632762,0.4977724319073466,93.24211267529083,0.07236799241964641,not_available
