seed,participant,semantic_source,half,top1_accuracy
17,sub-01,cornet-s,first_40,0.165
17,sub-01,cornet-s,last_40,0.175
17,sub-01,dinov2,first_40,0.15
17,sub-01,dinov2,last_40,0.165
17,sub-02,cornet-s,first_40,0.125
17,sub-02,cornet-s,last_40,0.095
17,sub-02,dinov2,first_40,0.14
17,sub-02,dinov2,last_40,0.14
17,sub-03,cornet-s,first_40,0.12
17,sub-03,cornet-s,last_40,0.14
17,sub-03,dinov2,first_40,0.175
17,sub-03,dinov2,last_40,0.18
17,sub-04,cornet-s,first_40,0.16
17,sub-04,cornet-s,last_40,0.15
17,sub-04,dinov2,first_40,0.19
17,sub-04,dinov2,last_40,0.165
17,sub-05,cornet-s,first_40,0.1
17,sub-05,cornet-s,last_40,0.105
17,sub-05,dinov2,first_40,0.115
17,sub-05,dinov2,last_40,0.16
17,sub-06,cornet-s,first_40,0.18
17,sub-06,cornet-s,last_40,0.15
17,sub-06,dinov2,first_40,0.17
17,sub-06,dinov2,last_40,0.175
17,sub-07,cornet-s,first_40,0.16
17,sub-07,cornet-s,last_40,0.145
17,sub-07,dinov2,first_40,0.18
17,sub-07,dinov2,last_40,0.195
17,sub-08,cornet-s,first_40,0.17
17,sub-08,cornet-s,last_40,0.165
17,sub-08,dinov2,first_40,0.175
17,sub-08,dinov2,last_40,0.17
17,sub-09,cornet-s,first_40,0.175
17,sub-09,cornet-s,last_40,0.15
17,sub-09,dinov2,first_40,0.1
17,sub-09,dinov2,last_40,0.18
17,sub-10,cornet-s,first_40,0.165
17,sub-10,cornet-s,last_40,0.19
17,sub-10,dinov2,first_40,0.16
17,sub-10,dinov2,last_40,0.185
29,sub-01,cornet-s,first_40,0.175
29,sub-01,cornet-s,last_40,0.18
29,sub-01,dinov2,first_40,0.115
29,sub-01,dinov2,last_40,0.115
29,sub-02,cornet-s,first_40,0.13
29,sub-02,cornet-s,last_40,0.125
29,sub-02,dinov2,first_40,0.06
29,sub-02,dinov2,last_40,0.07
29,sub-03,cornet-s,first_40,0.12
29,sub-03,cornet-s,last_40,0.14
29,sub-03,dinov2,first_40,0.1
29,sub-03,dinov2,last_40,0.075
29,sub-04,cornet-s,first_40,0.145
29,sub-04,cornet-s,last_40,0.13
29,sub-04,dinov2,first_40,0.085
29,sub-04,dinov2,last_40,0.085
29,sub-05,cornet-s,first_40,0.095
29,sub-05,cornet-s,last_40,0.07
29,sub-05,dinov2,first_40,0.065
29,sub-05,dinov2,last_40,0.045
29,sub-06,cornet-s,first_40,0.17
29,sub-06,cornet-s,last_40,0.16
29,sub-06,dinov2,first_40,0.085
29,sub-06,dinov2,last_40,0.085
29,sub-07,cornet-s,first_40,0.16
29,sub-07,cornet-s,last_40,0.145
29,sub-07,dinov2,first_40,0.105
29,sub-07,dinov2,last_40,0.07
29,sub-08,cornet-s,first_40,0.17
29,sub-08,cornet-s,last_40,0.165
29,sub-08,dinov2,first_40,0.155
29,sub-08,dinov2,last_40,0.16
29,sub-09,cornet-s,first_40,0.175
29,sub-09,cornet-s,last_40,0.15
29,sub-09,dinov2,first_40,0.08
29,sub-09,dinov2,last_40,0.095
29,sub-10,cornet-s,first_40,0.15
29,sub-10,cornet-s,last_40,0.2
29,sub-10,dinov2,first_40,0.1
29,sub-10,dinov2,last_40,0.135
43,sub-01,cornet-s,first_40,0.135
43,sub-01,cornet-s,last_40,0.15
43,sub-01,dinov2,first_40,0.15
43,sub-01,dinov2,last_40,0.165
43,sub-02,cornet-s,first_40,0.13
43,sub-02,cornet-s,last_40,0.125
43,sub-02,dinov2,first_40,0.14
43,sub-02,dinov2,last_40,0.14
43,sub-03,cornet-s,first_40,0.12
43,sub-03,cornet-s,last_40,0.14
43,sub-03,dinov2,first_40,0.165
43,sub-03,dinov2,last_40,0.16
43,sub-04,cornet-s,first_40,0.16
43,sub-04,cornet-s,last_40,0.15
43,sub-04,dinov2,first_40,0.19
43,sub-04,dinov2,last_40,0.165
43,sub-05,cornet-s,first_40,0.08
43,sub-05,cornet-s,last_40,0.075
43,sub-05,dinov2,first_40,0.115
43,sub-05,dinov2,last_40,0.16
43,sub-06,cornet-s,first_40,0.17
43,sub-06,cornet-s,last_40,0.16
43,sub-06,dinov2,first_40,0.17
43,sub-06,dinov2,last_40,0.175
43,sub-07,cornet-s,first_40,0.15
43,sub-07,cornet-s,last_40,0.14
43,sub-07,dinov2,first_40,0.15
43,sub-07,dinov2,last_40,0.175
43,sub-08,cornet-s,first_40,0.19
43,sub-08,cornet-s,last_40,0.155
43,sub-08,dinov2,first_40,0.175
43,sub-08,dinov2,last_40,0.17
43,sub-09,cornet-s,first_40,0.175
43,sub-09,cornet-s,last_40,0.16
43,sub-09,dinov2,first_40,0.1
43,sub-09,dinov2,last_40,0.18
43,sub-10,cornet-s,first_40,0.15
43,sub-10,cornet-s,last_40,0.2
43,sub-10,dinov2,first_40,0.185
43,sub-10,dinov2,last_40,0.2
71,sub-01,cornet-s,first_40,0.175
71,sub-01,cornet-s,last_40,0.18
71,sub-01,dinov2,first_40,0.1
71,sub-01,dinov2,last_40,0.125
71,sub-02,cornet-s,first_40,0.13
71,sub-02,cornet-s,last_40,0.125
71,sub-02,dinov2,first_40,0.075
71,sub-02,dinov2,last_40,0.07
71,sub-03,cornet-s,first_40,0.115
71,sub-03,cornet-s,last_40,0.13
71,sub-03,dinov2,first_40,0.11
71,sub-03,dinov2,last_40,0.11
71,sub-04,cornet-s,first_40,0.16
71,sub-04,cornet-s,last_40,0.165
71,sub-04,dinov2,first_40,0.085
71,sub-04,dinov2,last_40,0.085
71,sub-05,cornet-s,first_40,0.1
71,sub-05,cornet-s,last_40,0.105
71,sub-05,dinov2,first_40,0.075
71,sub-05,dinov2,last_40,0.065
71,sub-06,cornet-s,first_40,0.16
71,sub-06,cornet-s,last_40,0.14
71,sub-06,dinov2,first_40,0.07
71,sub-06,dinov2,last_40,0.065
71,sub-07,cornet-s,first_40,0.15
71,sub-07,cornet-s,last_40,0.14
71,sub-07,dinov2,first_40,0.105
71,sub-07,dinov2,last_40,0.07
71,sub-08,cornet-s,first_40,0.19
71,sub-08,cornet-s,last_40,0.155
71,sub-08,dinov2,first_40,0.155
71,sub-08,dinov2,last_40,0.16
71,sub-09,cornet-s,first_40,0.175
71,sub-09,cornet-s,last_40,0.15
71,sub-09,dinov2,first_40,0.09
71,sub-09,dinov2,last_40,0.115
71,sub-10,cornet-s,first_40,0.15
71,sub-10,cornet-s,last_40,0.2
71,sub-10,dinov2,first_40,0.11
71,sub-10,dinov2,last_40,0.13
101,sub-01,cornet-s,first_40,0.175
101,sub-01,cornet-s,last_40,0.18
101,sub-01,dinov2,first_40,0.07
101,sub-01,dinov2,last_40,0.085
101,sub-02,cornet-s,first_40,0.13
101,sub-02,cornet-s,last_40,0.125
101,sub-02,dinov2,first_40,0.075
101,sub-02,dinov2,last_40,0.07
101,sub-03,cornet-s,first_40,0.115
101,sub-03,cornet-s,last_40,0.13
101,sub-03,dinov2,first_40,0.07
101,sub-03,dinov2,last_40,0.065
101,sub-04,cornet-s,first_40,0.16
101,sub-04,cornet-s,last_40,0.15
101,sub-04,dinov2,first_40,0.08
101,sub-04,dinov2,last_40,0.11
101,sub-05,cornet-s,first_40,0.145
101,sub-05,cornet-s,last_40,0.095
101,sub-05,dinov2,first_40,0.055
101,sub-05,dinov2,last_40,0.08
101,sub-06,cornet-s,first_40,0.16
101,sub-06,cornet-s,last_40,0.14
101,sub-06,dinov2,first_40,0.085
101,sub-06,dinov2,last_40,0.085
101,sub-07,cornet-s,first_40,0.12
101,sub-07,cornet-s,last_40,0.135
101,sub-07,dinov2,first_40,0.125
101,sub-07,dinov2,last_40,0.08
101,sub-08,cornet-s,first_40,0.19
101,sub-08,cornet-s,last_40,0.155
101,sub-08,dinov2,first_40,0.155
101,sub-08,dinov2,last_40,0.16
101,sub-09,cornet-s,first_40,0.13
101,sub-09,cornet-s,last_40,0.12
101,sub-09,dinov2,first_40,0.065
101,sub-09,dinov2,last_40,0.06
101,sub-10,cornet-s,first_40,0.15
101,sub-10,cornet-s,last_40,0.2
101,sub-10,dinov2,first_40,0.11
101,sub-10,dinov2,last_40,0.13
