seed,participant,semantic_source,repetitions,resamples,top1_mean,top1_sd
17,sub-01,cornet-s,1,10,0.042499999999999996,0.01602948671805945
17,sub-01,cornet-s,2,10,0.049,0.021186998109427604
17,sub-01,cornet-s,5,10,0.089,0.014681810363696828
17,sub-01,cornet-s,10,10,0.1055,0.015174906186786715
17,sub-01,cornet-s,20,10,0.1475,0.011365151414154877
17,sub-01,cornet-s,40,10,0.15699999999999997,0.01549193338482967
17,sub-01,cornet-s,80,1,0.175,0.0
17,sub-01,dinov2,1,10,0.036,0.014102797200870789
17,sub-01,dinov2,2,10,0.055999999999999994,0.020248456731316585
17,sub-01,dinov2,5,10,0.1045,0.013834337312964755
17,sub-01,dinov2,10,10,0.12250000000000001,0.01457737973711325
17,sub-01,dinov2,20,10,0.153,0.01398411797560202
17,sub-01,dinov2,40,10,0.15750000000000003,0.0088975652100261
17,sub-01,dinov2,80,1,0.16,0.0
17,sub-02,cornet-s,1,10,0.024,0.01021980647783726
17,sub-02,cornet-s,2,10,0.036000000000000004,0.012649110640673518
17,sub-02,cornet-s,5,10,0.0645,0.018020050561034014
17,sub-02,cornet-s,10,10,0.07999999999999999,0.01414213562373095
17,sub-02,cornet-s,20,10,0.10400000000000001,0.012866839377079187
17,sub-02,cornet-s,40,10,0.11499999999999999,0.012692955176439848
17,sub-02,cornet-s,80,1,0.12,0.0
17,sub-02,dinov2,1,10,0.0385,0.015284342024147166
17,sub-02,dinov2,2,10,0.05550000000000001,0.015714466088430887
17,sub-02,dinov2,5,10,0.0905,0.014615440845595835
17,sub-02,dinov2,10,10,0.11349999999999998,0.013550317749451896
17,sub-02,dinov2,20,10,0.1335,0.012258783698955528
17,sub-02,dinov2,40,10,0.138,0.011595018087284054
17,sub-02,dinov2,80,1,0.14,0.0
17,sub-03,cornet-s,1,10,0.03200000000000001,0.019748417658131498
17,sub-03,cornet-s,2,10,0.044,0.011498792207106895
17,sub-03,cornet-s,5,10,0.08099999999999999,0.011737877907772674
17,sub-03,cornet-s,10,10,0.1105,0.019783550967631895
17,sub-03,cornet-s,20,10,0.1355,0.018325756009871276
17,sub-03,cornet-s,40,10,0.145,0.014719601443879743
17,sub-03,cornet-s,80,1,0.145,0.0
17,sub-03,dinov2,1,10,0.038,0.015129074290546956
17,sub-03,dinov2,2,10,0.06399999999999999,0.014681810363696828
17,sub-03,dinov2,5,10,0.1025,0.01399404635312222
17,sub-03,dinov2,10,10,0.1365,0.025500544656492687
17,sub-03,dinov2,20,10,0.15699999999999997,0.01858912465813158
17,sub-03,dinov2,40,10,0.16799999999999998,0.02110818693198342
17,sub-03,dinov2,80,1,0.175,0.0
17,sub-04,cornet-s,1,10,0.0345,0.011413929112175954
17,sub-04,cornet-s,2,10,0.0495,0.012572014777097405
17,sub-04,cornet-s,5,10,0.0905,0.018922355972646628
17,sub-04,cornet-s,10,10,0.10900000000000001,0.012427567921538166
17,sub-04,cornet-s,20,10,0.138,0.015129074290546957
17,sub-04,cornet-s,40,10,0.1605,0.011167910378500637
17,sub-04,cornet-s,80,1,0.175,0.0
17,sub-04,dinov2,1,10,0.040999999999999995,0.012866839377079187
17,sub-04,dinov2,2,10,0.05550000000000001,0.010124228365658293
17,sub-04,dinov2,5,10,0.11000000000000001,0.01433720877840438
17,sub-04,dinov2,10,10,0.12200000000000003,0.016699966733167135
17,sub-04,dinov2,20,10,0.16250000000000003,0.015500896031448556
17,sub-04,dinov2,40,10,0.17700000000000002,0.011595018087284057
17,sub-04,dinov2,80,1,0.19,0.0
17,sub-05,cornet-s,1,10,0.027500000000000004,0.008897565210026093
17,sub-05,cornet-s,2,10,0.036500000000000005,0.010287532908007309
17,sub-05,cornet-s,5,10,0.0665,0.012703892666773004
17,sub-05,cornet-s,10,10,0.078,0.015491933384829668
17,sub-05,cornet-s,20,10,0.1,0.012472191289246471
17,sub-05,cornet-s,40,10,0.11100000000000002,0.011254628677422758
17,sub-05,cornet-s,80,1,0.11,0.0
17,sub-05,dinov2,1,10,0.033,0.011595018087284059
17,sub-05,dinov2,2,10,0.047,0.013581032524975577
17,sub-05,dinov2,5,10,0.07650000000000001,0.013550317749451897
17,sub-05,dinov2,10,10,0.10800000000000001,0.02057506581601462
17,sub-05,dinov2,20,10,0.12150000000000001,0.021219749710535647
17,sub-05,dinov2,40,10,0.13200000000000003,0.013784048752090218
17,sub-05,dinov2,80,1,0.135,0.0
17,sub-06,cornet-s,1,10,0.027500000000000004,0.01136515141415488
17,sub-06,cornet-s,2,10,0.0455,0.014990737881179238
17,sub-06,cornet-s,5,10,0.07950000000000002,0.02060878992619951
17,sub-06,cornet-s,10,10,0.11400000000000002,0.020385179801894207
17,sub-06,cornet-s,20,10,0.14300000000000002,0.023237900077244498
17,sub-06,cornet-s,40,10,0.1675,0.009789450103725604
17,sub-06,cornet-s,80,1,0.18,0.0
17,sub-06,dinov2,1,10,0.035,0.012692955176439848
17,sub-06,dinov2,2,10,0.06850000000000002,0.01616752575037037
17,sub-06,dinov2,5,10,0.092,0.018135294011647256
17,sub-06,dinov2,10,10,0.1275,0.010865337342004419
17,sub-06,dinov2,20,10,0.15799999999999997,0.013581032524975578
17,sub-06,dinov2,40,10,0.173,0.00788810637746615
17,sub-06,dinov2,80,1,0.185,0.0
17,sub-07,cornet-s,1,10,0.029500000000000005,0.009559753599799992
17,sub-07,cornet-s,2,10,0.041999999999999996,0.01567021236472421
17,sub-07,cornet-s,5,10,0.07250000000000001,0.0196143371598997
17,sub-07,cornet-s,10,10,0.0995,0.021272047386182647
17,sub-07,cornet-s,20,10,0.1295,0.012122064363978788
17,sub-07,cornet-s,40,10,0.14,0.010274023338281625
17,sub-07,cornet-s,80,1,0.155,0.0
17,sub-07,dinov2,1,10,0.044,0.013291601358251259
17,sub-07,dinov2,2,10,0.073,0.016020819787597222
17,sub-07,dinov2,5,10,0.11300000000000002,0.018135294011647263
17,sub-07,dinov2,10,10,0.137,0.014567848922274773
17,sub-07,dinov2,20,10,0.16199999999999998,0.018287822299126934
17,sub-07,dinov2,40,10,0.164,0.008755950357709132
17,sub-07,dinov2,80,1,0.2,0.0
17,sub-08,cornet-s,1,10,0.051500000000000004,0.012703892666773004
17,sub-08,cornet-s,2,10,0.06050000000000001,0.018020050561034014
17,sub-08,cornet-s,5,10,0.10400000000000001,0.019550504398153572
17,sub-08,cornet-s,10,10,0.1315,0.01972730763856707
17,sub-08,cornet-s,20,10,0.146,0.014681810363696828
17,sub-08,cornet-s,40,10,0.16949999999999998,0.017070116838759156
17,sub-08,cornet-s,80,1,0.155,0.0
17,sub-08,dinov2,1,10,0.0505,0.016236105170610072
17,sub-08,dinov2,2,10,0.07749999999999999,0.01620185174601965
17,sub-08,dinov2,5,10,0.12649999999999997,0.017328524974093373
17,sub-08,dinov2,10,10,0.14799999999999996,0.01843908891458577
17,sub-08,dinov2,20,10,0.175,0.020682789409984755
17,sub-08,dinov2,40,10,0.183,0.009189365834726817
17,sub-08,dinov2,80,1,0.185,0.0
17,sub-09,cornet-s,1,10,0.019499999999999997,0.00955975359979999
17,sub-09,cornet-s,2,10,0.0395,0.007619419633774972
17,sub-09,cornet-s,5,10,0.079,0.012649110640673518
17,sub-09,cornet-s,10,10,0.10850000000000001,0.014539218991709593
17,sub-09,cornet-s,20,10,0.128,0.01946506842754191
17,sub-09,cornet-s,40,10,0.153,0.014567848922274772
17,sub-09,cornet-s,80,1,0.18,0.0
17,sub-09,dinov2,1,10,0.025500000000000002,0.00864420165325996
17,sub-09,dinov2,2,10,0.0485,0.01528434202414717
17,sub-09,dinov2,5,10,0.078,0.023475755815545344
17,sub-09,dinov2,10,10,0.09949999999999999,0.015714466088430887
17,sub-09,dinov2,20,10,0.12699999999999997,0.020575065816014614
17,sub-09,dinov2,40,10,0.135,0.013944333775567926
17,sub-09,dinov2,80,1,0.14,0.0
17,sub-10,cornet-s,1,10,0.0435,0.01131616346451197
17,sub-10,cornet-s,2,10,0.06650000000000002,0.019867617426914137
17,sub-10,cornet-s,5,10,0.0905,0.013426756040748552
