seed,participant,semantic_source,selected_spec,selected_alpha,selected_retrieval,selected_neighbors
17,sub-01,cornet-s,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 64, ""whiten"": true}",1000.0,csls,20
17,sub-01,dinov2,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 64, ""whiten"": true}",1000.0,csls,20
17,sub-02,cornet-s,"{""center_semantics"": true, ""eeg_dimension"": 128, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",100.0,csls,20
17,sub-02,dinov2,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",1000.0,csls,10
17,sub-03,cornet-s,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",1000.0,csls,20
17,sub-03,dinov2,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 64, ""whiten"": true}",1000.0,csls,5
17,sub-04,cornet-s,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 64, ""whiten"": true}",1000.0,csls,20
17,sub-04,dinov2,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",1000.0,csls,20
17,sub-05,cornet-s,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 64, ""whiten"": true}",1000.0,csls,20
17,sub-05,dinov2,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",1000.0,csls,10
17,sub-06,cornet-s,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 64, ""whiten"": true}",1000.0,csls,20
17,sub-06,dinov2,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",1000.0,csls,20
17,sub-07,cornet-s,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",100.0,cosine,10
17,sub-07,dinov2,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",100.0,csls,20
17,sub-08,cornet-s,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 64, ""whiten"": true}",1000.0,csls,20
17,sub-08,dinov2,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",1000.0,csls,20
17,sub-09,cornet-s,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",1000.0,csls,10
17,sub-09,dinov2,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",1000.0,csls,10
17,sub-10,cornet-s,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",100.0,csls,10
17,sub-10,dinov2,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",1000.0,csls,10
29,sub-01,cornet-s,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 64, ""whiten"": true}",100.0,cosine,10
29,sub-01,dinov2,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": false}",100.0,cosine,10
29,sub-02,cornet-s,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",1000.0,csls,20
29,sub-02,dinov2,"{""center_semantics"": true, ""eeg_dimension"": 128, ""remove_components"": 2, ""semantic_dimension"": 100, ""whiten"": false}",100.0,cosine,10
29,sub-03,cornet-s,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",1000.0,csls,5
29,sub-03,dinov2,"{""center_semantics"": true, ""eeg_dimension"": 128, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",100.0,cosine,10
29,sub-04,cornet-s,"{""center_semantics"": true, ""eeg_dimension"": null, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",100.0,cosine,10
29,sub-04,dinov2,"{""center_semantics"": true, ""eeg_dimension"": 128, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": false}",100.0,csls,10
29,sub-05,cornet-s,"{""center_semantics"": true, ""eeg_dimension"": 128, ""remove_components"": 0, ""semantic_dimension"": 100, ""whiten"": true}",100.0,csls,20
